,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D2,Huskies_M6,Opponent7_M1,Opponent7_D1,Huskies_D4,Huskies_F1,Huskies_F4,Huskies_M1,Opponent7_M2,Opponent7_M4,Huskies_D5,Huskies_M9,Huskies_D1,Huskies_M3,Opponent7_M3,Opponent7_F1,Opponent7_G1,Huskies_G1,Opponent7_M5,Opponent7_D3,Opponent7_D2,Opponent7_D4
0,Huskies,7.065491999999999,12.645769,50.0,27.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Opponent7,12.645769,18.638747,25.0,36.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
2,Huskies,18.638747,57.915439000000006,73.0,27.0,-46.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,True,True,,,,,,,,,,,,,,
3,Opponent7,57.915439000000006,80.26483499999999,64.0,55.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
4,Huskies,80.26483499999999,101.544917,63.0,27.0,-36.0,0.0,0.0,2.0,7.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,,,True,True,True,True,,,,,,,,
5,Opponent7,101.544917,130.47558899999999,39.0,27.0,-12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,True,,,,,,
6,Huskies,130.47558899999999,177.27179099999998,58.0,27.0,-31.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,True,True,True,,,True,,,True,,,,,,,,
7,Opponent7,177.27179099999998,179.918591,15.0,76.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,
8,Huskies,179.918591,188.678007,17.0,27.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,True,,,,,,,,
9,Huskies,188.678007,211.288769,34.0,43.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,
10,Huskies,211.288769,216.84987400000003,12.0,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,
11,Opponent7,216.84987400000003,262.730282,31.0,27.0,-4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,True,True,True,
12,Opponent7,262.730282,290.822635,76.0,27.0,-49.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,True,
13,Opponent7,290.822635,295.731062,76.0,90.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
14,Huskies,295.731062,310.814908,19.0,30.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,
15,Huskies,310.814908,412.041902,81.0,27.0,-54.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,True,,,,,,,,,,
16,Huskies,412.041902,420.497971,19.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,
17,Huskies,420.497971,436.798899,23.0,22.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,,,,
