,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F1,Huskies_F2,Huskies_D3,Opponent8_M2,Opponent8_M1,Huskies_M1,Huskies_G1,Huskies_D6,Huskies_D4,Huskies_D1,Huskies_M3,Huskies_M6,Opponent8_D3,Opponent8_D4,Opponent8_M4,Opponent8_G1,Opponent8_F1,Huskies_M9,Opponent8_M5,Opponent8_D1,Opponent8_M3,Opponent8_D2
0,Huskies,1.5449779999999862,32.573014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,
1,Opponent8,32.573014,42.91852299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
2,Huskies,42.91852299999999,72.897987,2.0,7.0,2.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,True,True,True,True,True,True,,,,,,,,,,,
3,Huskies,72.897987,154.330735,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,True,,,,,,,,,,,
4,Huskies,154.330735,166.618184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,True,,,,,,,,,,
5,Opponent8,166.618184,183.572218,1.0,6.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,True,True,True,,,,,,
6,Huskies,183.572218,190.365604,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,True,,,,,,,,,,,,
7,Opponent8,190.365604,208.980941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,
8,Huskies,208.980941,219.432054,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,True,,,,,,,,,,,,
9,Opponent8,219.432054,226.195746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,
10,Huskies,226.195746,256.439702,1.0,3.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,True,,,True,,,True,,,,,,True,,,,
