,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent8_D3,Opponent8_M3,Huskies_G1,Huskies_D3,Huskies_D1,Opponent8_M1,Opponent8_D2,Huskies_M1,Huskies_D6,Huskies_D4,Huskies_F2,Huskies_M9,Huskies_M3,Huskies_M6,Opponent8_F1,Opponent8_M5,Opponent8_M4,Opponent8_G1,Opponent8_D1,Opponent8_M2,Opponent8_D4,Huskies_F1,Huskies_F4,Opponent8_F2,Opponent8_D5,Huskies_M5,Opponent8_F3,Huskies_M4
0,Opponent8,1.2752949999999146,8.11285399999997,50.0,30.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,8.11285399999997,14.938826000000065,23.0,30.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
2,Opponent8,14.938826000000065,22.34795299999996,30.0,49.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
3,Huskies,22.34795299999996,34.987576999999874,52.0,53.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,
4,Huskies,34.987576999999874,60.79832900000019,11.0,30.0,19.0,2.0,0.0,2.0,8.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,True,True,True,True,True,True,,,,,,,,,,,,,,,
5,Huskies,60.79832900000019,86.76592600000004,45.0,30.0,-15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,True,True,,,True,,,,,,,,,,,,,,,
6,Huskies,86.76592600000004,94.12361599999987,72.0,63.0,-9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,
7,Opponent8,94.12361599999987,124.93658800000004,25.0,30.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,True,True,True,,,,,,,,,,,
8,Opponent8,124.93658800000004,132.22051800000008,46.0,30.0,-16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,
9,Huskies,132.22051800000008,150.86743500000009,23.0,30.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,True,,,,,,,,,,,,,,,,,
10,Huskies,150.86743500000009,164.64589699999988,50.0,30.0,-20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,
11,Opponent8,164.64589699999988,176.65664699999982,24.0,30.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,True,True,,,,,,,,,
12,Opponent8,176.65664699999982,235.06138999999985,39.0,30.0,-9.0,0.0,0.0,5.0,19.0,4.0,15.0,1.0,0.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,True,True,,,,True,True,,,,,,,,True,True,True,,True,True,True,,,,,,,
13,Opponent8,235.06138999999985,262.9562190000001,62.0,30.0,-32.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,True,True,,,,,,,,
14,Huskies,262.9562190000001,272.62638800000013,27.0,30.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,
15,Opponent8,272.62638800000013,296.5107309999998,43.0,45.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,
