,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent9_M1,Opponent9_F1,Opponent9_M3,Opponent9_M2,Opponent9_D1,Opponent9_D2,Huskies_D4,Huskies_D3,Opponent9_F2,Huskies_M6,Opponent9_G1,Opponent9_D3,Opponent9_D4,Huskies_F2,Huskies_M1,Huskies_D1,Opponent9_D5,Huskies_D7,Huskies_D2,Huskies_G1,Huskies_F1,Huskies_M9
0,Opponent9,3.4103000000000065,62.64931300000001,50.0,48.0,-2.0,3.0,0.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,,,,,,,,,,,,,,,,
1,Huskies,62.64931300000001,72.41702900000001,69.0,48.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,
2,Opponent9,72.41702900000001,80.50677099999999,25.0,34.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
3,Huskies,80.50677099999999,94.21169200000004,60.0,34.0,-26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
4,Opponent9,94.21169200000004,108.77101499999998,14.0,64.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,,,,,,,,
5,Opponent9,108.77101499999998,174.64753000000005,42.0,48.0,6.0,2.0,1.0,6.0,15.0,3.0,11.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,,,,,,True,,,,,,,,,,
6,Opponent9,174.64753000000005,184.359485,76.0,84.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,
7,Opponent9,184.359485,194.845347,32.0,25.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
8,Opponent9,194.845347,198.769057,70.0,73.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,,,,,,,
9,Huskies,198.769057,207.045457,30.0,48.0,18.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,True,True,True,,,,,,
