,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F2,Huskies_D3,Opponent9_D2,Opponent9_D1,Opponent9_M3,Opponent9_G1,Huskies_D4,Huskies_G1,Opponent9_M1,Opponent9_D4,Opponent9_F1,Opponent9_D3,Opponent9_D5,Huskies_D1,Huskies_D7,Huskies_M6,Opponent9_M2,Huskies_F1,Huskies_M1,Huskies_M4,Opponent9_F2,Huskies_M9,Huskies_F4,Huskies_M10,Opponent9_M4,Opponent9_M5
0,Huskies,0.8387990000001082,31.296918000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent9,31.296918000000005,55.948761000000104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,
2,Opponent9,55.948761000000104,200.93791300000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,,,,
3,Opponent9,200.93791300000018,211.96969600000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,
4,Huskies,211.96969600000008,218.610764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,,,,
5,Opponent9,218.610764,261.937551,5.0,12.0,5.0,8.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,True,True,,,,True,True,True,True,,,,,,,,,,,,,,
6,Opponent9,261.937551,316.743751,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,,,,,,,,,,,,,
7,Opponent9,316.743751,331.1133530000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,,,,
8,Opponent9,331.1133530000002,364.096618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,True,,,,,,,,,,,,,,,
9,Opponent9,364.096618,372.13728899999984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,True,,,,,,,,,,,,,,,
10,Huskies,372.13728899999984,378.7057770000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,True,,,,,,,,,,,,
11,Huskies,378.7057770000001,385.97055600000016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,True,,,,,,,,,,
12,Opponent9,385.97055600000016,396.03115100000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,
13,Huskies,396.03115100000014,404.7832899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,,,,,
14,Huskies,404.7832899999999,426.28474499999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,
15,Opponent9,426.28474499999993,430.1155939999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,,,,,
16,Huskies,430.1155939999999,444.45839299999983,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,True,,True,True,True,,,,,,
17,Opponent9,444.45839299999983,545.133198,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,True,,,,True,,,,,
18,Opponent9,545.133198,560.670294,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,True,True,,,,,,,,,,,,,,
19,Huskies,560.670294,570.50918,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,True,,,True,,,,
20,Opponent9,570.50918,585.5283220000001,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,True,,,,True,,,,True,,,,,
21,Opponent9,585.5283220000001,629.8485529999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,True,,,,,,,,,
22,Opponent9,629.8485529999998,683.6231379999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,,,,,
23,Huskies,683.6231379999998,719.302956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,,,,,
24,Huskies,719.302956,728.429517,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,True,,,,True,,True,,,,,,
25,Opponent9,728.429517,740.9184230000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,,,True,,,,,,,,,,,,,,,,
26,Huskies,740.9184230000002,743.8715980000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,,,,,
27,Opponent9,743.8715980000003,755.5012539999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,,,,,,,,,
28,Huskies,755.5012539999997,788.4159009999997,5.0,11.0,3.0,8.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,True,True,True,,True,True,True,,True,,,,
29,Opponent9,788.4159009999997,799.114963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,True,,,,,,,,,,,,,,,
30,Opponent9,799.114963,805.8117769999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,True,,,,,
31,Huskies,805.8117769999999,1012.3020640000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,,True,,,,,,,
32,Opponent9,1012.3020640000001,1110.7165599999996,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,True,,,,,,,,,
33,Huskies,1110.7165599999996,1169.831918,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,True,,True,,,,
34,Opponent9,1169.831918,1189.3311940000006,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,True,,,True,,,,,,,,,,,,,,
35,Huskies,1189.3311940000006,1255.217291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,,,,,,,,
36,Huskies,1255.217291,1280.5874030000004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,
37,Opponent9,1280.5874030000004,1302.6649340000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,True,,,,,
38,Huskies,1302.6649340000004,1344.2934020000002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,True,,,,,,,True,,,,,,,,,,,
39,Huskies,1344.2934020000002,1347.4800640000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,True,,,,,,
40,Huskies,1347.4800640000005,1365.7493050000005,1.0,8.0,2.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,True,,True,,True,True,,,,,,,
41,Huskies,1365.7493050000005,1368.7248330000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,True,,,,
42,Opponent9,1368.7248330000002,1469.9985189999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,,,,,
43,Opponent9,1469.9985189999998,1547.9679660000004,0.0,1.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,True,True,,,,True,,,,,,,,,
44,Opponent9,1547.9679660000004,1568.3141340000002,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,True,,,,,,,True,,,,,,,,,
45,Opponent9,1568.3141340000002,1641.4272229999995,2.0,3.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,True,True,,,,True,,,,,,,,,
