,pos_x,pos_y
Huskies_D1,32.19230769230769,64.92307692307692
Huskies_F1,86.0,52.6
Huskies_M1,55.625,69.72916666666667
Huskies_F2,60.755102040816325,68.3265306122449
Huskies_M2,57.75,22.5
Huskies_M3,47.54054054054054,50.13513513513514
Huskies_G1,8.166666666666666,32.833333333333336
Huskies_D3,33.26086956521739,32.17391304347826
Huskies_D4,60.72222222222222,13.88888888888889
Huskies_F3,69.0,24.666666666666668
Huskies_D5,56.891891891891895,91.35135135135135
Huskies_M4,58.88235294117647,32.1764705882353
Huskies_M5,75.14285714285714,51.42857142857143
